"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U22","U23","U24","U25","U26","U27","U28","U29","U30","U31","U32","U33","U34","U35","U36","U37","U38","U39","U40","U41","U42","U43","U44","U45","U46","U47","U48","U49","U50","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U22","U23","U24","U25","U26","U27","U28","U29","U30","U31","U32","U33","U34","U35","U36","U37","U38","U39","U40","U41","U42","U43","U44","U45","U46","U47","U48","U49","U50"
2003,7,7,0,0,1,-1,-1,5,76.3728673513521,0,0,0,0,0,0,1.33881598058265,0,0,0,0,0,0,0,0,8.35727150077786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9310451672874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3728673513521,0,0,0,0,0,0,1.33881598058265,0,0,0,0,0,0,0,0,8.35727150077786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9310451672874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,7,0,0,1,-1,-1,2,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,7,0,0,1,-1,-1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,7,0,0,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,7,0,0,1,-1,-1,4,0,0,0,0,23.7531618087101,0,0,76.2468381912899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7531618087101,0,0,76.2468381912899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,7,0,0,1,-1,-1,99,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,7,0,0,1,-1,-1,5,43.1367783841106,56.8632216158894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1367783841106,56.8632216158894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,7,0,0,1,-1,-1,47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,7,0,0,1,-1,-1,7,20.7602708575471,20.6629945929557,0,39.0507352569609,19.5259992925363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7602708575471,20.6629945929557,0,39.0507352569609,19.5259992925363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,7,0,0,1,-1,-1,5,54.9538411922007,0,45.0461588077993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9538411922007,0,45.0461588077993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,7,0,0,1,-1,-1,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,7,0,0,1,-1,-1,3,37.1338535414166,62.8661464585834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1338535414166,62.8661464585834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,7,0,0,1,-1,-1,7,0,0,5.44843982492744,0,0,0,0,19.6866864879128,0,33.7455354592663,0,0,0,13.7064460759645,13.7064460759645,0,0,0,13.7064460759645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44843982492744,0,0,0,0,19.6866864879128,0,33.7455354592663,0,0,0,13.7064460759645,13.7064460759645,0,0,0,13.7064460759645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,7,0,0,1,-1,-1,26,88.7384468039908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2615531960092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7384468039908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2615531960092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,7,0,0,1,-1,-1,9,43.9072563331902,26.7775869471876,0,0,0,0,7.32878917990554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32878917990554,0,0,0,7.32878917990554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32878917990554,43.9072563331902,26.7775869471876,0,0,0,0,7.32878917990554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32878917990554,0,0,0,7.32878917990554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32878917990554
2018,7,7,0,0,1,-1,-1,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,7,0,0,1,-1,-1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,1,-1,-1,54,99.7273738984298,0.272626101570157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7273738984298,0.272626101570157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,7,0,0,1,-1,-1,9,93.945678382111,6.05432161788903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.945678382111,6.05432161788903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,7,3,0,1,-1,-1,906,0.44078450906847,2.53184913033654,2.630225724388,13.8498631563919,7.20426388828747,2.30958815504314,0.489164031787141,1.24105287143513,2.42021818219083,0.276742725276046,1.3379676436024,0.596175924185396,0.235065731248015,0.672341365450146,1.62448222118159,0,1.09675321824358,0.148122493239199,0.0588772625210068,0.263926666574905,0.127208644581669,0.339209237749807,0.233291200043242,0.0410365050581549,0.359488876741088,0.306789193127568,0.100094611523597,0,0.0436461836452171,0.0360783669148817,0.058343521712777,0.0513634478018569,0.217955884727257,0.035066143170333,0.117243389726838,0.126028135499938,0.172443492044323,0,1.10241840597516,0.0435193417119672,0,0.0298945087037679,0.0252176833629499,0.156031904086802,0.0201013067682956,0,0,0,0,0,0.0229646692218576,0.795896711182073,1.45990041727731,1.91851814864428,13.1464442614348,15.2772380367461,4.38288988221333,2.99321091738818,2.29545469844122,1.11904725783815,0.666177601010636,0.0594964018585533,0.114460402359692,0.258544047506499,0.147881367979952,0.279858515735382,0.0532547740540782,1.71260596827214,0.200832223738521,0.222718108597391,0.0423300416051588,0.269034252144483,0.269326867693465,0.432539783407226,0.101633040912024,0.147649033745781,0.306180100675824,1.70740921659107,0.358064730678658,0.32422305171544,0.271205635338434,0,0.210626681534718,0.0913060981683221,0.399769353642644,0.547930778564326,0.108895683486125,0.33932728865798,0.265078290859956,0.619436976538412,1.71271522815523,0.0364337755001264,0.335043547724164,0.285842692091182,0.138850473504704,0.230483095461591,0,0,0.063107001443637,0,0.021203952485062,0.0670240310456809
2004,7,7,3,0,1,-1,-1,661,2.80078340088987,1.23927637962386,2.14860080634654,10.2077274707096,10.5465107896991,9.9923582201083,2.0123060407627,0.615479714594074,0.400110463992766,0.89219133960943,0.279784581676853,0.129795191499687,0.0518933711112969,0.852434116722942,0.28126691099154,0.641335869763494,0.270257739163513,0.422546770366545,0.25397919120999,0.169361200673208,0.441373706388467,0.156961075995098,0.188492724910476,0.143146308272379,0.173534059223456,0.112733174970023,0.122414003747789,0.267375996214984,0.137959847827728,0,0.0599023490181599,0.677042069385872,0.525390981278316,0,0,0.051120055475667,0.112179839712144,0.51804702097496,0.309642687564577,0.126280581925938,0,0.0660787211626877,0.30997096597445,0.126280581925938,0,0,0,0,0,0,0,2.78460469018471,1.01398939829952,4.52204863326191,4.82729002111473,8.85004919099678,6.53967143053917,1.50163682322614,0.680485608376041,1.00143190304348,0.94052779722818,0.228894659519448,0.246361101512822,0.0439013147719531,0.293871786636632,0.474188010121805,0.308818607226389,0.0983870700271997,1.52208822972991,0.665076828993008,0.892949425834292,0.330083941127836,0.646568018440447,0.405171704837775,0.0680297778976577,0.971890230468365,0.675363449887962,0.525390981278316,0.490248269854329,0.449051021571953,2.11076418137348,0.0992771444787125,0.343993469628663,0,0.311170705111566,1.02726944448863,0.339026989561762,0.128713903335207,0.715303425703658,0.0972093289278596,0.686027421738596,0.155111548665244,0.669271685581031,0.23302690630765,0.137154381213811,0.238526415751407,0,0.151651088107556,0.805101108058084,0.605201554482879,0.0660787211626877,0.248124328848328
2005,7,7,3,0,1,-1,-1,985,0.00866407351018061,4.69887696302278,2.17917053030074,6.89663719021272,7.14467539760452,7.82306888584077,3.36992829707214,2.16931591038293,0.326350071370037,0.152591391857402,0.674503159059576,0.296099294410535,0.631451944163935,0.41219325596576,0.488370062378027,1.07365159308319,0.709796833007851,0.773159991537708,0.391744259138988,0.355083355751713,0.488204938049645,0.649093827408221,0.294679225186453,0.258789452412721,0.22596438717375,0.141688232454368,0.0499104794966112,0.278899944366311,0.389566269247635,0.500414230890178,0.213130924371935,0.491206898339622,0.268574720112612,0.459808507297868,0.237199446476831,0.236415105917019,0.0298577810579542,0.0507162862191132,0.0758960950540178,0,0.0366179710618954,0.146562702628191,0,0.213109458209245,0.0878841212945193,0,0.105136311123825,0.139911494680982,0,0,0,0.171006056958514,3.4819172678238,3.46514724103337,6.5103552438566,8.64571498735115,7.56100501799624,3.89591698394206,1.70790404585648,1.10037861687503,0.488340339998918,1.12228401027813,0.750078912916534,1.05969693609167,0.269380526835114,0.348930823276216,0.492133245821843,0.806675276469314,0.371615603509275,0.890434592040862,0.581018020546354,0.728143797134327,0.223327351649496,0.543107125993231,0.600775146437208,0.870073111108132,0.451251764601135,0.550630190394295,0.308992201970567,0.303860137844468,0.241740365507324,0.353240568246975,0.16332282195892,0,0.685262660296919,0.189037633617781,0.146562702628191,0.793450469009235,0.503487194641359,0.319170465572007,0.328153229035964,0,0.232541289173187,0.444909339147999,0,0.186086861869602,0.117370372613615,0,0.105136311123825,0,0.0956862458105481,0.15017562293318
2006,7,7,3,0,1,-1,-1,875,0.0149634992978694,0.177648674206813,1.67926894032853,1.47997391431163,3.33535977429092,4.36975637764812,6.28113107691517,3.70987834933726,2.60870641951914,1.30339655107576,0.651215818713638,0.398494661330902,0.545710032442011,0.478265136624251,2.51535561011985,0.196765337953668,0.604068963809318,0.777835970183068,0.632788903126155,0.682043525677068,0.915715893466929,0.675755077032579,0.379783408071338,0.17244804646261,0.28792216118644,0.111570433651639,0,0.216221372470427,0.374650654481116,0.162628307374527,0.170367795364929,0.510863074900963,0.121590126328476,0.170789715781566,0.215549968676995,0.0169355186365,0.391802636635717,0.131463064077787,0.383896214915254,0.327718428658302,0,0.0815370377334435,0.215935200361751,0.10999098374414,0.161456102390913,0.0610518842874085,0.0506047678841517,0,0.185518407195394,0.156371044152137,0.634705889366963,0.0549010183874752,0.115516306765494,2.17526207219792,3.32962349106125,5.4116539922385,5.62510903432506,10.1716684109101,4.23893169750507,1.34622147336444,2.26166587021545,1.78469401139002,2.03056354809388,0.383521989850062,1.15102090982552,0.616710066379088,0.526127421800261,0.329677606940774,0.755837406546921,0.325368515381292,1.68917306349994,0.33534785045306,1.0526015521168,1.20271533304655,0.464207849003855,0.653519871075796,0.781233346755294,0.351408342834186,0.760113478247709,0.145718470850344,0.204624064322685,0.247968132167488,0.919652594397814,0.0349056595120582,0.791245701685755,0.431228347915576,0.189999935794719,0.357819698730478,0.683956843044688,0.0251666356341143,0.563597623670836,0.158251341661064,0.400956475240151,0.404779441102203,0.524338846121038,0.442655053460068,0.459610750899103,0.246227251839711,0.320103682356297,0.31507182277875,0.431521857770628,1.93873348663108
2007,7,7,3,0,1,-1,-1,940,0.0405487617122454,0.808638003869563,0.145907277554723,2.79131906435111,1.8631701256254,4.52038253239348,6.60477369834531,6.04171346417231,4.01117225256748,1.67919908463819,1.12961486709952,0.900177098792813,0.334053282150971,0.498136011947805,0.411034116632957,0.660972080128582,0.113745905346166,0.424766125552394,0.614060973574458,0.44553063797877,0.530024741966541,0.182226963467591,0.21423640529556,0.817843319942717,0.133003601395204,0.160507162757793,0.631229106580889,0.148550449929335,0.17966912185468,0.503853172981708,0.190248055067395,0.328071803879607,0.141626170803089,0.304503863745671,0.17101117139926,0.073550954109262,0.0913559459713089,0.0387505720022736,0,0.044850680844782,0,0.0663457078408335,0.0528030915876086,0.248148098738014,0.0938430254891518,0.0399535276184353,0.0357972951522158,0.0726601842066371,0,0.0768559601965713,0.688567215967142,0,0.381830183750638,0.188836975642209,2.62144216771104,1.81024632222856,3.12509970431226,4.85419855340217,6.56025809683306,3.16775884144801,4.48663733799825,0.957948105701837,1.28619057110484,1.23949799455019,1.242399240448,0.324167401222307,0.753822355048687,1.1072602887722,1.01486788623195,0.252730985012734,1.42433066810677,0.230147470495484,1.28472537948931,0.792747751050541,0.787550899539199,0.18315727689393,1.67625829521667,0.573433124814783,0.744614957737443,1.90181247324699,0.246466458361096,0.444244432838998,1.11491300123003,0.0912081780669015,0.519614389039135,0.434196215339295,1.9340466887887,0.343745607937243,0.991324920955098,0.764247276642725,0.543450808886712,0,0.373557262341914,1.56875610414124,0.370316774635402,0.745047855260214,0.67699969466156,0.335990914812989,0.382854152891038,0.220634131184974,0.68370960626451,1.94170148248462
2008,7,7,3,0,1,-1,-1,785,0.664192342596309,0.304742813441248,2.26491294758809,0.162206814228548,1.02079085965522,1.40052463880583,2.91545198020755,4.72476384725037,6.47514213945731,4.18122540180502,1.92257825436677,3.73536625296125,1.97827230828601,0.376657840895239,0.44980558054654,0.690216591330522,0.249781960378702,0.332020222205429,0.816750700929795,0.471088853223325,2.09733127448975,0.484975852716248,0.196109320773534,0.748259224886344,0.238488914514243,0.291028159966433,0.490324421515478,1.05005755042501,0.488081002161131,0.234857963658184,0.384027824008542,0.0483912565418094,0.182251532470121,0.23166225952582,0.04980507811408,0.308245235063464,0,0.187696498194734,0,0.156951721235749,0.200628291790689,0.12631502567795,0.129791157229607,0.393749307877379,0.255738121919735,0.452770516281777,0.172497916292824,0,0.128199147401327,0,0.412470759234161,0.398630497644454,0.111878855822244,1.68872515562772,0.668699629137659,0.75993201621443,0.525001024582472,3.47572843724196,5.84225834977753,6.93865653124077,3.70373053472222,2.87703342376436,1.64834360724948,1.09351795817758,1.21902091278716,0.707763752869013,0.206765562706682,0.953838813298931,1.0067548830958,0.94563339016565,1.04882775934665,0.286231682648936,0.581150773058064,0.130588622703223,0.608039673001766,0.965713161834635,0.710944851406622,0.749728547718683,1.40808449465095,0.502449986280965,0.616405757677351,1.45140176757492,0.109787334653348,0.190310899655854,0.608451550773853,0.639599442148072,1.22117377745403,0.515811184362713,1.36807100726053,0.1887948389203,0.551074932338852,0.160246743412446,0.65320309310275,0.28804569751749,0.961486302712577,0.316628846452755,0.943480525498783,0,0.617930581769758,0.528354469138188,0,1.02887067467361
2009,7,7,3,0,1,-1,-1,902,0.547100974814176,28.1586987457639,0.445605731437566,0.288547696918665,0.208290726783199,0.728339688705514,1.18243326681529,1.05980458230004,1.63315444949198,2.76621890328919,1.51151722791228,1.83560123076442,0.416718268344241,0.248837651853298,0.302213183365384,0.253320556846807,0.258338283244614,0.24442404265636,0.154895650302849,0.149559873966937,0.0503922586289702,0.605888685719931,0.0383756567775642,0.0864545018902649,0.0710814959434418,0.118001857482711,0.267289878709257,0.231174330989062,0.101907464525438,0.185956158504007,0.0895852504430045,0.293433938984518,0.128756920473479,0.0489796904681144,0,0.165808849855021,0.172013488871006,0.0191913820193755,0.0250868551737397,0.230724796719004,0.0267446238455365,0.15745959477595,0.504144688201786,0.594538389604778,0.053663375590147,0.0878048815157372,0.0207887389710854,0.0288661413097652,0.219664121497209,0.11435938612453,0.661460360938706,0.90682256207171,19.3794703562355,0.541262359749306,0.308835373976088,0.136642426760118,0.715230345446653,1.0201354039865,2.24807291054961,1.83805678950442,3.72264837162874,4.07422503756632,1.20423123687489,0.691188257667358,0.319203091232181,0.5919620074246,0.811295641276628,1.17140279745354,0.374867160846382,0.475553953263006,0.285068692567777,0.615197421059206,0.354158378563647,0.089478641525204,0.343787107676961,0.427228130824067,0.247176329550908,0.0431570667409139,0.655458278866541,0.187407816601389,0.201972371588226,0.51064960900291,0.442714852949878,0.330260212823383,0.205698353265351,1.02529705242334,0.792418755564763,0.153083298700242,0.0889971245798054,0.139270336583898,0.0250868551737397,0.0540187386494818,0.14366084718198,0.112957478855454,0.388367403470511,0.69257595041406,0.637308110611017,0.0623022515625758,0,0.134579544200679,0,2.28633840477878
